Volts,r,R,delta_r,delta_R
1.5,0.2016,0.35712000000000016,0.028800000000000003,0.04608
1.6,0.2016,0.35136000000000017,0.028800000000000003,0.051840000000000004
1.7,0.2016,0.3456000000000002,0.028800000000000003,0.04608
1.8,0.19584000000000001,0.3398400000000002,0.02304,0.04032
1.9,0.19584000000000001,0.3398400000000002,0.02304,0.04032
2.0,0.19584000000000001,0.3398400000000002,0.02304,0.04032
2.1,0.19584000000000001,0.3398400000000002,0.02304,0.04032
2.2,0.19584000000000001,0.3110400000000001,0.02304,0.034560000000000084
2.3,0.19008,0.30528,0.01728,0.028800000000000003
2.4,0.18432,0.2937600000000001,0.02304,0.028800000000000082
2.5,0.1728,0.2937600000000001,0.01152,0.028800000000000082
2.6,0.1728,0.2880000000000001,0.01152,0.023040000000000085
2.7,0.1728,0.2822400000000001,0.01152,0.017280000000000083
2.8,0.16704000000000002,0.2822400000000001,0.01728,0.017280000000000083
2.9,0.16704000000000002,0.27648,0.01728,0.01152
3.0,0.14976,0.27072,0.02304,0.01728
3.1,0.14400000000000002,0.26496000000000003,0.01728,0.02304
3.2,0.14400000000000002,0.26496000000000003,0.01728,0.02304
3.3,0.14400000000000002,0.25920000000000004,0.01728,0.028800000000000003
3.4,0.13824,0.25344,0.01152,0.02304
3.5,0.13824,0.25344,0.01152,0.02304
3.6,0.13824,0.24768,0.01152,0.01728
3.7,0.13824,0.24768,0.01152,0.01728
3.8,0.13824,0.23616,0.01152,0.028800000000000003
3.9,0.13248000000000001,0.22464,0.01728,0.028800000000000003
4.0,0.13248000000000001,0.22464,0.01728,0.028800000000000003
4.1,0.13248000000000001,0.22464,0.01728,0.028800000000000003
4.2,0.12672,0.22464,0.01152,0.028800000000000003
4.3,0.12672,0.22464,0.01152,0.028800000000000003
4.4,0.12672,0.21888000000000002,0.01152,0.02304
4.5,0.12096000000000001,0.21312,0.00576,0.028800000000000003
4.6,0.11520000000000001,0.21312,0.01152,0.028800000000000003
4.7,0.11520000000000001,0.21312,0.01152,0.028800000000000003
4.8,0.11520000000000001,0.20736000000000002,0.01152,0.02304
4.9,0.11520000000000001,0.20736000000000002,0.01152,0.02304
5.0,0.11520000000000001,0.2016,0.01152,0.028800000000000003
